GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100008,159,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,1,1,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20211020,MIN,HOU
Shot Chart Detail,0022100008,325,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,1,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,180,1,1,20211020,MIN,HOU
Shot Chart Detail,0022100008,429,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,5,34,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,28,109,1,1,20211020,MIN,HOU
Shot Chart Detail,0022100008,494,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,1,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20211020,MIN,HOU
Shot Chart Detail,0022100031,527,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,2,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,43,1,1,20211023,MIN,NOP
Shot Chart Detail,0022100031,573,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,4,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-7,1,1,20211023,MIN,NOP
Shot Chart Detail,0022100031,599,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,4,9,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-1,1,1,20211023,MIN,NOP
Shot Chart Detail,0022100047,141,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,1,2,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,13,1,1,20211025,MIN,NOP
Shot Chart Detail,0022100060,486,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,3,34,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,6,1,1,20211027,MIL,MIN
Shot Chart Detail,0022100060,545,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,4,11,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,237,1,1,20211027,MIL,MIN
Shot Chart Detail,0022100087,115,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,1,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,216,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100087,172,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,11,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,-5,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100087,448,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,5,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,16,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100087,476,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,3,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-10,247,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100087,500,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,3,1,9,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,188,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100087,528,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,4,10,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,44,248,1,1,20211030,MIN,DEN
Shot Chart Detail,0022100101,97,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,1,5,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,20,254,1,1,20211101,MIN,ORL
Shot Chart Detail,0022100101,292,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,2,5,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-102,183,1,1,20211101,MIN,ORL
Shot Chart Detail,0022100101,565,1627736,Malik Beasley,1610612750,Minnesota Timberwolves,4,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-12,255,1,1,20211101,MIN,ORL
